"'"
"Newfoundland and Labrador"
"Distribution of polling divisions by federal electoral district (FED), from the 2003 to the 2013 Representation Order"

"Old FED - 2003","New FED - 2013","Polling divisions taken from old FED - Type","Polling divisions taken from old FED - From no.","Polling divisions taken from FED - To no.","Polling divisions transferred - Total polls","Polling divisions taken from FED - %","Population taken from old FED"
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","M.P.",500.0,503.0,3,100,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","O.P.",1.0,1.0,1,0.4,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","O.P.",10.0,10.0,1,2.8,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","O.P.",5.0,5.0,1,3.8,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","O.P.",7.0,7.0,1,4.5,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","O.P.",3.0,400.0,175,100,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","SVR1",.,.,.,95.5,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","SVR2",.,.,.,95.5,79482

"'"
"Notes:"
"A.P.: Advance poll"
"M.P.: Mobile poll"
"O.P.: Ordinary poll"
"SVR1: Includes Canadian citizens temporarily residing outside Canada, members of the Canadian Forces (except members of the"
"Canadian Forces who voted at the polling station established for the polling division of their place of ordinary"
"residence) and incarcerated electors."
"SVR2: Includes Canadian citizens residing in Canada who voted by special ballot in or outside their electoral districts."

